Date,Users,Pageviews
2019-01-09,276053,610448
2019-01-10,294260,632182
2019-01-11,263024,568959
2019-01-12,223251,455314
2019-01-13,200294,401107
2019-01-14,231132,512900
2019-01-15,209982,460201
2019-01-16,219787,503281
2019-01-17,227215,527263
2019-01-18,319476,620634
2019-01-19,219369,449287
2019-01-20,215426,422261
2019-01-21,267757,578375
2019-01-22,246135,544876
2019-01-23,235854,525808
2019-01-24,236751,535067
2019-01-25,207914,487802
2019-01-26,207884,407763
2019-01-27,204361,428473
2019-01-28,233416,561090
2019-01-29,269392,623186
2019-01-30,310841,676155
2019-01-31,278795,619477
2019-02-01,400848,803683
2019-02-02,238185,508058
2019-02-03,230977,451160
2019-02-04,273127,641950
2019-02-05,265740,607802
2019-02-06,248040,556492
2019-02-07,260429,571107
2019-02-08,294361,624358
2019-02-09,229986,460527
2019-02-10,253812,459265
2019-02-11,334773,659807
2019-02-12,280456,606024
2019-02-13,303281,625403
2019-02-14,276944,586584
2019-02-15,306687,686404
2019-02-16,319307,623554
2019-02-17,301553,554489
2019-02-18,360136,737174
2019-02-19,326974,675695
2019-02-20,311129,651324
2019-02-21,270153,592636
2019-02-22,276786,595394
2019-02-23,282771,524813
2019-02-24,260491,484737
2019-02-25,285618,606692
2019-02-26,366041,971197
2019-02-27,462389,1257396
2019-02-28,406051,972304
2019-03-01,383473,893811
2019-03-02,263435,580222
2019-03-03,273539,544541
2019-03-04,329587,664084
2019-03-05,348063,699371
2019-03-06,336769,713328
2019-03-07,296442,655875
2019-03-08,301761,612496
2019-03-09,267168,512405
2019-03-10,329101,570720
2019-03-11,348733,667379
2019-03-12,311732,629961
2019-03-13,399072,731714
2019-03-14,444485,821294
2019-03-15,508536,882833
2019-03-16,437528,735474
2019-03-17,622589,946358
2019-03-18,570971,988305
2019-03-19,583827,995623
2019-03-20,484859,852076
2019-03-21,432863,740862
2019-03-22,499456,886503
2019-03-23,535124,867427
2019-03-24,454362,719560
2019-03-25,477783,847463
2019-03-26,495350,865394
2019-03-27,422838,798467
2019-03-28,422607,769188
2019-03-29,497050,847401
2019-03-30,452078,725899
2019-03-31,421040,671020
2019-04-01,450804,794927
2019-04-02,447409,793792
2019-04-03,536021,903776
2019-04-04,523084,888506
2019-04-05,461139,806581
2019-04-06,420779,693458
2019-04-07,494876,795699
2019-04-08,518055,911491
2019-04-09,550306,960374
2019-04-10,571526,972587
2019-04-11,719711,1188875
2019-04-12,554771,930239
2019-04-13,454828,745821
2019-04-14,578764,884108
2019-04-15,507302,906579
2019-04-16,441334,805979
2019-04-17,500144,858322
2019-04-18,656680,1080747
2019-04-19,569860,932318
2019-04-20,498256,799229
2019-04-21,598109,945650
2019-04-22,611018,1042960
2019-04-23,672081,1122622
2019-04-24,457760,846350
2019-04-25,536145,922489
2019-04-26,500870,851002
2019-04-27,426523,709062
2019-04-28,436385,708970
2019-04-29,570165,951452
2019-04-30,584544,971015
2019-05-01,478023,810899
2019-05-02,615256,1020654
2019-05-03,775041,1186058
2019-05-04,477585,760888
2019-05-05,494948,765383
2019-05-06,615946,998933
2019-05-07,585359,1005402
2019-05-08,515161,927479
2019-05-09,595148,997004
2019-05-10,504944,853730
2019-05-11,694648,1016953
2019-05-12,496470,758693
2019-05-13,558281,929409
2019-05-14,497444,857018
2019-05-15,438254,770705
2019-05-16,490566,829899
2019-05-17,524398,876249
2019-05-18,407012,695474
2019-05-19,720424,1056421
2019-05-20,623042,1044342
2019-05-21,551142,959937
2019-05-22,539512,938339
2019-05-23,3520653,5340356
2019-05-24,1461769,2266612
2019-05-25,819469,1232909
2019-05-26,715310,1103500
2019-05-27,708547,1164797
2019-05-28,614123,1048999
2019-05-29,642412,1059423
2019-05-30,657905,1072957
2019-05-31,1089298,1623848
2019-06-01,758498,1128645
2019-06-02,563213,860251
2019-06-03,535828,930525
2019-06-04,486275,852798
2019-06-05,483732,785640
2019-06-06,462668,812019
2019-06-07,447842,784745
2019-06-08,438953,704753
2019-06-09,699492,995864
2019-06-10,802148,1261103
2019-06-11,626685,1039745
2019-06-12,569281,941874
2019-06-13,511616,873721
2019-06-14,464788,802894
2019-06-15,481561,751653
2019-06-16,456038,698415
2019-06-17,569426,961054
2019-06-18,490162,862937
2019-06-19,522612,890558
2019-06-20,548219,927735
2019-06-21,586944,951742
2019-06-22,416529,679757
2019-06-23,602948,911976
2019-06-24,538543,925346
2019-06-25,489538,856580
2019-06-26,644528,1024232
2019-06-27,603962,984887
2019-06-28,528349,886381
2019-06-29,489158,772330
2019-06-30,498186,775962
2019-07-01,579451,982756
2019-07-02,622324,1002076
2019-07-03,563247,939754
2019-07-04,566895,950490
2019-07-05,668707,1130912
2019-07-06,544779,837473
2019-07-07,548539,846805
2019-07-08,668554,1102713
2019-07-09,574099,947573
2019-07-10,533874,889570
2019-07-11,535395,911919
2019-07-12,710931,1126528
2019-07-13,511252,804423
2019-07-14,482678,744744
2019-07-15,621947,1034110
2019-07-16,540127,913594
2019-07-17,632509,1030468
2019-07-18,661498,1072330
2019-07-19,538206,926800
2019-07-20,470318,757526
2019-07-21,504369,788088
2019-07-22,591241,1022367
2019-07-23,517693,929367
2019-07-24,607304,1001709
2019-07-25,664331,1080571
2019-07-26,601095,987311
2019-07-27,555606,861963
2019-07-28,535490,821242
2019-07-29,552485,941286
2019-07-30,691542,1136687
2019-07-31,684878,1111399
2019-08-01,606720,1011617
2019-08-02,580698,963067
2019-08-03,624543,963877
2019-08-04,791642,1183485
2019-08-05,1017466,1809276
2019-08-06,921286,1603905
2019-08-07,896106,1530950
2019-08-08,720651,1239816
2019-08-09,969058,1552674
2019-08-10,909468,1354280
2019-08-11,859714,1271782
2019-08-12,847169,1312362
2019-08-13,680226,1094610
2019-08-14,624534,1032625
2019-08-15,582351,910541
2019-08-16,660168,1079572
2019-08-17,746902,1130430
2019-08-18,681812,1044663
2019-08-19,784859,1267247
2019-08-20,587646,1008209
2019-08-21,691456,1194788
2019-08-22,790781,1293339
2019-08-23,631167,1075438
2019-08-24,677449,1056074
2019-08-25,824097,1207147
2019-08-26,668760,1129704
2019-08-27,489472,891971
2019-08-28,557445,969344
2019-08-29,534924,936293
2019-08-30,570779,963977
2019-08-31,594942,938923
2019-09-01,619172,944645
2019-09-02,553892,915854
2019-09-03,534770,942620
2019-09-04,561461,960739
2019-09-05,518909,903119
2019-09-06,617808,1041868
2019-09-07,686292,1103570
2019-09-08,723465,1098640
2019-09-09,566747,983310
2019-09-10,617102,1038725
2019-09-11,571787,978666
2019-09-12,584819,998948
2019-09-13,560877,943817
2019-09-14,489326,801280
2019-09-15,553716,858583
2019-09-16,602588,1033810
2019-09-17,556260,977560
2019-09-18,695357,1140601
2019-09-19,641676,1072780
2019-09-20,1281601,1816707
2019-09-21,838640,1211676
2019-09-22,802604,1149317
2019-09-23,762250,1232887
2019-09-24,653888,1099213
2019-09-25,705616,1163259
2019-09-26,654509,1085427
2019-09-27,868804,1335740
2019-09-28,533375,863254
2019-09-29,524316,814809
2019-09-30,532110,910840
2019-10-01,481991,826737
2019-10-02,406230,677502
2019-10-03,442446,780000
2019-10-04,420725,729343
2019-10-05,517987,805294
2019-10-06,647378,934295
2019-10-07,483467,773484
2019-10-08,355193,625606
2019-10-09,443080,786645
2019-10-10,525239,878468
2019-10-11,472304,805811
2019-10-12,402570,649878
2019-10-13,456526,711273
2019-10-14,706162,1096608
2019-10-15,532727,881021
2019-10-16,443119,778059
2019-10-17,429128,728482
2019-10-18,447090,744871
2019-10-19,488340,736859
2019-10-20,537632,780967
2019-10-21,491189,791063
2019-10-22,445220,754072
2019-10-23,413751,701052
2019-10-24,498439,822756
2019-10-25,489268,766682
2019-10-26,460735,678790
2019-10-27,406885,601196
2019-10-28,426582,681741
2019-10-29,597269,909754
2019-10-30,465254,750478
2019-10-31,444502,723140
2019-11-01,488644,752961
2019-11-02,468238,703250
2019-11-03,477259,714607
2019-11-04,483102,791150
2019-11-05,528020,836649
2019-11-06,485337,773380
2019-11-07,473041,748012
2019-11-08,440731,715732
2019-11-09,593746,985552
2019-11-10,449701,689475
2019-11-11,540265,894681
2019-11-12,473705,788913
2019-11-13,541440,856631
2019-11-14,556320,857206
2019-11-15,436286,709835
2019-11-16,430439,655216
2019-11-17,506596,748849
2019-11-18,448349,747143
2019-11-19,407005,685583
2019-11-20,374419,639747
2019-11-21,371069,629228
2019-11-22,493979,758912
2019-11-23,465188,727040
2019-11-24,641630,921556
2019-11-25,643657,980755
2019-11-26,475304,786178
2019-11-27,451052,738743
2019-11-28,441317,706630
